3724511308: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00014562822082131644], ['152118514 AĞ GÜVENLİĞİ', -0.00016858203670180977], ['152117111 MOBİL PROGRAMLAMA', -0.00019600425345234717], ['152118035 NETWORK APPLICATIONS UE', -0.00040031344788033364]]
4183542027: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00014562822082131644], ['152118514 AĞ GÜVENLİĞİ', -0.00016858203670180977], ['152117111 MOBİL PROGRAMLAMA', -0.00019600425345234717], ['152118035 NETWORK APPLICATIONS UE', -0.00040031344788033364]]
3719817359: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002463074479802569], ['152118514 AĞ GÜVENLİĞİ', -0.0007788387538821183], ['152118035 NETWORK APPLICATIONS UE', -0.0010046931093188524], ['152117111 MOBİL PROGRAMLAMA', -0.001339964427332971]]
2292485301: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0006783399455166131], ['152118035 NETWORK APPLICATIONS UE', -0.0009841742192652017], ['152117111 MOBİL PROGRAMLAMA', -0.000992488777559985]]
2311919418: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00018723628391312114], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.0008264502204428965], ['152118035 NETWORK APPLICATIONS UE', -0.0012227086303210175], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
3627731812: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.0004368846624639493], ['152118514 AĞ GÜVENLİĞİ', -0.0005688593198424455], ['152117111 MOBİL PROGRAMLAMA', -0.0007543627896816877], ['152118035 NETWORK APPLICATIONS UE', -0.0011338130887157806]]
1227222971: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0002463074479802569], ['152118514 AĞ GÜVENLİĞİ', -0.000852557584676154], ['152118035 NETWORK APPLICATIONS UE', -0.0011378770039150818], ['152117111 MOBİL PROGRAMLAMA', -0.0015350849686608266]]
1179501345: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
2592583809: [['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152118513 SİSTEM PROGRAMLAMA', -0.00014562822082131644], ['152118514 AĞ GÜVENLİĞİ', -0.00016858203670180977], ['152117111 MOBİL PROGRAMLAMA', -0.00019600425345234717], ['152118035 NETWORK APPLICATIONS UE', -0.00040031344788033364]]
880213215: [['152118513 SİSTEM PROGRAMLAMA', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00021112066969736307], ['152118514 AĞ GÜVENLİĞİ', -0.000730763644008132], ['152118035 NETWORK APPLICATIONS UE', -0.0009753231462129273], ['152117111 MOBİL PROGRAMLAMA', -0.0013157871159949941]]
