1970908016: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004950235928649458], ['152118514 AĞ GÜVENLİĞİ', -0.0009042151592582545], ['152118513 SİSTEM PROGRAMLAMA', -0.001274540008910148], ['152118035 NETWORK APPLICATIONS UE', -0.001431174173365678], ['152117111 MOBİL PROGRAMLAMA', -0.0018967612659522616]]
2549129425: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003748501081260705], ['152118513 SİSTEM PROGRAMLAMA', -0.0004258188251646144], ['152118514 AĞ GÜVENLİĞİ', -0.0007745462508081793], ['152118035 NETWORK APPLICATIONS UE', -0.001661624853493148], ['152117111 MOBİL PROGRAMLAMA', -0.0023807458926516103]]
2864104566: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00042348613459522634], ['152118513 SİSTEM PROGRAMLAMA', -0.0005301496541382452], ['152118514 AĞ GÜVENLİĞİ', -0.0009477129369020868], ['152118035 NETWORK APPLICATIONS UE', -0.0017311594696555674], ['152117111 MOBİL PROGRAMLAMA', -0.002408924017088336]]
1029674514: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00034154611993690906], ['152118514 AĞ GÜVENLİĞİ', -0.0005011584480632053], ['152118513 SİSTEM PROGRAMLAMA', -0.0005702374296126134], ['152117111 MOBİL PROGRAMLAMA', -0.0012701051977404977], ['152118035 NETWORK APPLICATIONS UE', -0.0015133975276811363]]
2997066913: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00023836928558924414], ['152118514 AĞ GÜVENLİĞİ', -0.0006490751804478624], ['152118513 SİSTEM PROGRAMLAMA', -0.0008844936020123171], ['152117111 MOBİL PROGRAMLAMA', -0.0013178772144122493], ['152118035 NETWORK APPLICATIONS UE', -0.0014760701240359169]]
2134294565: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003748501081260705], ['152118513 SİSTEM PROGRAMLAMA', -0.0004258188251646144], ['152118514 AĞ GÜVENLİĞİ', -0.0007745462508081793], ['152118035 NETWORK APPLICATIONS UE', -0.001661624853493148], ['152117111 MOBİL PROGRAMLAMA', -0.0023807458926516103]]
2125534943: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0003748501081260705], ['152118513 SİSTEM PROGRAMLAMA', -0.0004258188251646144], ['152118514 AĞ GÜVENLİĞİ', -0.0007745462508081793], ['152118035 NETWORK APPLICATIONS UE', -0.001661624853493148], ['152117111 MOBİL PROGRAMLAMA', -0.0023807458926516103]]
3781038388: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0004940909558742465], ['152118513 SİSTEM PROGRAMLAMA', -0.0010431000614408697], ['152118514 AĞ GÜVENLİĞİ', -0.0012797820739934012], ['152118035 NETWORK APPLICATIONS UE', -0.00188947274015475], ['152117111 MOBİL PROGRAMLAMA', -0.0021382070878819947]]
113883116: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.00042348613459522634], ['152118513 SİSTEM PROGRAMLAMA', -0.0005301496541382452], ['152118514 AĞ GÜVENLİĞİ', -0.0009477129369020868], ['152118035 NETWORK APPLICATIONS UE', -0.0017311594696555674], ['152117111 MOBİL PROGRAMLAMA', -0.002408924017088336]]
3502310847: [['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0], ['152117115 ADVANCED PROGRAMMING', -0.0005184961041053374], ['152118513 SİSTEM PROGRAMLAMA', -0.0007422095157935434], ['152118514 AĞ GÜVENLİĞİ', -0.0010907987040207202], ['152118035 NETWORK APPLICATIONS UE', -0.0017984287433620762], ['152117111 MOBİL PROGRAMLAMA', -0.002389773211288673]]
