422752095: [['SİSTEM PROGRAMLAMA', 0.04530573745088246], ['MOBİL PROGRAMLAMA', 0.027238444783025555], ['WEB BASED TECHNOLOGIES', 0.023211475977774565], ['COMPUTER SECURITY', 0.02231854917444153], ['AĞ GÜVENLİĞİ', 0.019197310541616757], ['NETWORK APPLICATIONS', 0.01798359259331289], ['IMAGE PROCESSING', 0.017496626686003786], ['ADVANCED PROGRAMMING', 0.006131579069952611]]
1352579909: [['SİSTEM PROGRAMLAMA', 0.06338205984295643], ['COMPUTER SECURITY', 0.03372098252630543], ['WEB BASED TECHNOLOGIES', 0.03144232125625216], ['MOBİL PROGRAMLAMA', 0.031111461133663233], ['IMAGE PROCESSING', 0.02795392101745015], ['AĞ GÜVENLİĞİ', 0.026114045904110445], ['NETWORK APPLICATIONS', 0.021668950309066317], ['ADVANCED PROGRAMMING', 0.01124644664528763]]
1719661574: [['SİSTEM PROGRAMLAMA', 0.06246265602428301], ['WEB BASED TECHNOLOGIES', 0.03759665929672119], ['COMPUTER SECURITY', 0.03338915929387853], ['MOBİL PROGRAMLAMA', 0.031784202411698874], ['IMAGE PROCESSING', 0.02780266942062861], ['AĞ GÜVENLİĞİ', 0.025921666567285555], ['NETWORK APPLICATIONS', 0.021936848210868092], ['ADVANCED PROGRAMMING', 0.013356732989147508]]
2837538700: [['SİSTEM PROGRAMLAMA', 0.06547259749550254], ['COMPUTER SECURITY', 0.03725163241280112], ['WEB BASED TECHNOLOGIES', 0.035804454843433406], ['MOBİL PROGRAMLAMA', 0.031176473396129983], ['IMAGE PROCESSING', 0.02840304207643742], ['AĞ GÜVENLİĞİ', 0.027812801453555722], ['NETWORK APPLICATIONS', 0.022372205964366055], ['ADVANCED PROGRAMMING', 0.014584148242974366]]
3539332303: [['SİSTEM PROGRAMLAMA', 0.05465601614080791], ['WEB BASED TECHNOLOGIES', 0.03228317495543284], ['MOBİL PROGRAMLAMA', 0.031742285038563314], ['COMPUTER SECURITY', 0.028908602028317708], ['IMAGE PROCESSING', 0.024379842830419163], ['AĞ GÜVENLİĞİ', 0.02338167036642873], ['NETWORK APPLICATIONS', 0.021477579462521015], ['ADVANCED PROGRAMMING', 0.011852377475858041]]
4145644758: [['SİSTEM PROGRAMLAMA', 0.058376012877234124], ['COMPUTER SECURITY', 0.033344082842411506], ['WEB BASED TECHNOLOGIES', 0.032235630693642235], ['MOBİL PROGRAMLAMA', 0.03191790895006834], ['IMAGE PROCESSING', 0.02560020312301498], ['AĞ GÜVENLİĞİ', 0.023539551494340723], ['NETWORK APPLICATIONS', 0.02158474579855694], ['ADVANCED PROGRAMMING', 0.014073960463531151]]
3122346490: [['SİSTEM PROGRAMLAMA', 0.06403803618971625], ['COMPUTER SECURITY', 0.03633341199797579], ['WEB BASED TECHNOLOGIES', 0.034902898551577105], ['MOBİL PROGRAMLAMA', 0.03149456045271656], ['AĞ GÜVENLİĞİ', 0.026073169720210284], ['IMAGE PROCESSING', 0.024184060265486036], ['NETWORK APPLICATIONS', 0.021466174429775584], ['ADVANCED PROGRAMMING', 0.01355400187621189]]
737024858: [['SİSTEM PROGRAMLAMA', 0.06627545378497247], ['COMPUTER SECURITY', 0.0385985234433842], ['WEB BASED TECHNOLOGIES', 0.03647123085361926], ['MOBİL PROGRAMLAMA', 0.031747605787181665], ['IMAGE PROCESSING', 0.028988590242764328], ['AĞ GÜVENLİĞİ', 0.025859869548663754], ['NETWORK APPLICATIONS', 0.022064227661364674], ['ADVANCED PROGRAMMING', 0.015616413534675324]]
1958900897: [['SİSTEM PROGRAMLAMA', 0.05713982831469763], ['COMPUTER SECURITY', 0.03181702394007485], ['MOBİL PROGRAMLAMA', 0.03166018146467828], ['WEB BASED TECHNOLOGIES', 0.031649946438398774], ['AĞ GÜVENLİĞİ', 0.02337706345550364], ['IMAGE PROCESSING', 0.021607722543835528], ['NETWORK APPLICATIONS', 0.021357498404674796], ['ADVANCED PROGRAMMING', 0.011272466784150007]]
14978221: [['SİSTEM PROGRAMLAMA', 0.06665968664150662], ['COMPUTER SECURITY', 0.037277361908663355], ['WEB BASED TECHNOLOGIES', 0.036537450031341054], ['MOBİL PROGRAMLAMA', 0.03194764562173556], ['IMAGE PROCESSING', 0.02878615149630079], ['AĞ GÜVENLİĞİ', 0.025215092056227944], ['NETWORK APPLICATIONS', 0.02194976397685544], ['ADVANCED PROGRAMMING', 0.015481685810526096]]
