2292485301: [['152118035 NETWORK APPLICATIONS UE', 0.005536205074724769], ['152117111 MOBİL PROGRAMLAMA', 0.005366483210080263], ['152118514 AĞ GÜVENLİĞİ', 0.00461019446094167], ['152118635 WEB BASED TECHNOLOGIES', 0.001272296954284816], ['152118634 COMPUTER SECURITY', 0.0010365977064602833], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 0.0004380930705948985]]
2311919418: [['152117111 MOBİL PROGRAMLAMA', 0.005750728451515038], ['152118035 NETWORK APPLICATIONS UE', 0.0048090732670193126], ['152118514 AĞ GÜVENLİĞİ', 0.003772383142281266], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 0.00039341634112640523]]
3627731812: [['152118634 COMPUTER SECURITY', 0.005035622368835856], ['152118035 NETWORK APPLICATIONS UE', 0.004979117183443092], ['152118514 AĞ GÜVENLİĞİ', 0.0045596629525482815], ['152117111 MOBİL PROGRAMLAMA', 0.004173504462835383], ['152118635 WEB BASED TECHNOLOGIES', 0.0027438085720905836], ['152118513 SİSTEM PROGRAMLAMA', 0.0025355950669446238], ['152117115 ADVANCED PROGRAMMING', 0.0006915314058679119]]
1227222971: [['152117111 MOBİL PROGRAMLAMA', 0.006709183193434211], ['152118035 NETWORK APPLICATIONS UE', 0.004914414762996191], ['152118514 AĞ GÜVENLİĞİ', 0.004103541057478416], ['152118635 WEB BASED TECHNOLOGIES', 0.0028562507327109105], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152117115 ADVANCED PROGRAMMING', 0.0009045652171748908], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
1179501345: [['152117111 MOBİL PROGRAMLAMA', 0.0063682647992706325], ['152118035 NETWORK APPLICATIONS UE', 0.005471774315358004], ['152118514 AĞ GÜVENLİĞİ', 0.004834829347583732], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 4.4676729468493264e-05]]
2592583809: [['152118514 AĞ GÜVENLİĞİ', 0.0038552184102654255], ['152118035 NETWORK APPLICATIONS UE', 0.0034152503337281145], ['152117111 MOBİL PROGRAMLAMA', 0.0026310074750128865], ['152118634 COMPUTER SECURITY', 0.0014137640468203426], ['152118513 SİSTEM PROGRAMLAMA', 0.0010081109781720002], ['152117115 ADVANCED PROGRAMMING', 0.0003249759826782035], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
880213215: [['152117111 MOBİL PROGRAMLAMA', 0.006537591632111263], ['152118035 NETWORK APPLICATIONS UE', 0.0052172581230796695], ['152118514 AĞ GÜVENLİĞİ', 0.004736702813403451], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152117115 ADVANCED PROGRAMMING', 0.0010717122172361543], ['152118513 SİSTEM PROGRAMLAMA', 0.0006932672589927193]]
2773579581: [['152117111 MOBİL PROGRAMLAMA', 0.005477722128605599], ['152118035 NETWORK APPLICATIONS UE', 0.005247840703082129], ['152118514 AĞ GÜVENLİĞİ', 0.004167203238473701], ['152118635 WEB BASED TECHNOLOGIES', 0.002142188049533183], ['152118634 COMPUTER SECURITY', 0.0021119198219460562], ['152117115 ADVANCED PROGRAMMING', 0.0006784239128811681], ['152118513 SİSTEM PROGRAMLAMA', 0.0003442392984856046]]
2662800065: [['152118035 NETWORK APPLICATIONS UE', 0.006495476629040128], ['152118514 AĞ GÜVENLİĞİ', 0.00388155296032854], ['152117111 MOBİL PROGRAMLAMA', 0.0036101595996225672], ['152118513 SİSTEM PROGRAMLAMA', 0.0005507828775769674], ['152117115 ADVANCED PROGRAMMING', 5.371508394421947e-06], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
680294614: [['152118035 NETWORK APPLICATIONS UE', 0.005987310607916076], ['152117111 MOBİL PROGRAMLAMA', 0.0052756347176400945], ['152118514 AĞ GÜVENLİĞİ', 0.004909590964756848], ['152118634 COMPUTER SECURITY', 0.00337907171511369], ['152118635 WEB BASED TECHNOLOGIES', 0.0016462851432543502], ['152117115 ADVANCED PROGRAMMING', 0.00017540943369444102], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
1454810307: [['152117111 MOBİL PROGRAMLAMA', 0.006537591632111263], ['152118035 NETWORK APPLICATIONS UE', 0.0052172581230796695], ['152118514 AĞ GÜVENLİĞİ', 0.004736702813403451], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152117115 ADVANCED PROGRAMMING', 0.0010717122172361543], ['152118513 SİSTEM PROGRAMLAMA', 0.0006932672589927193]]
3460213741: [['152118035 NETWORK APPLICATIONS UE', 0.0037902180295052482], ['152118514 AĞ GÜVENLİĞİ', 0.0032804989377343136], ['152117111 MOBİL PROGRAMLAMA', 0.0022691998237140973], ['152118513 SİSTEM PROGRAMLAMA', 0.0004689031100665518], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
3101767336: [['152118035 NETWORK APPLICATIONS UE', 0.003684909225030939], ['152118514 AĞ GÜVENLİĞİ', 0.0035436181016080147], ['152117111 MOBİL PROGRAMLAMA', 0.0032587851028515647], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152118635 WEB BASED TECHNOLOGIES', 0.001175917959467393], ['152118513 SİSTEM PROGRAMLAMA', 0.0005581986977599305], ['152117115 ADVANCED PROGRAMMING', 0.00012529245263888643]]
234653585: [['152117111 MOBİL PROGRAMLAMA', 0.005988233060327723], ['152118035 NETWORK APPLICATIONS UE', 0.004735880125550929], ['152118514 AĞ GÜVENLİĞİ', 0.0038620139557732445], ['152118634 COMPUTER SECURITY', 0.003194768628497547], ['152118635 WEB BASED TECHNOLOGIES', 0.003058447787983122], ['152117115 ADVANCED PROGRAMMING', 0.0010593895162585376], ['152118513 SİSTEM PROGRAMLAMA', 0.000804295413632528]]
779454362: [['152118635 WEB BASED TECHNOLOGIES', 0.007886605639199133], ['152117111 MOBİL PROGRAMLAMA', 0.006821590737854023], ['152118634 COMPUTER SECURITY', 0.005730709989063989], ['152118514 AĞ GÜVENLİĞİ', 0.0042037088445011925], ['152118035 NETWORK APPLICATIONS UE', 0.0037965298429776997], ['152118513 SİSTEM PROGRAMLAMA', 0.0030030077355536833], ['152117115 ADVANCED PROGRAMMING', 0.001955794298184169]]
1303790514: [['152117111 MOBİL PROGRAMLAMA', 0.006709183193434211], ['152118035 NETWORK APPLICATIONS UE', 0.004914414762996191], ['152118514 AĞ GÜVENLİĞİ', 0.004103541057478416], ['152118635 WEB BASED TECHNOLOGIES', 0.0028562507327109105], ['152118634 COMPUTER SECURITY', 0.002815893095928075], ['152117115 ADVANCED PROGRAMMING', 0.0009045652171748908], ['152118513 SİSTEM PROGRAMLAMA', 0.0]]
1970908016: [['152118635 WEB BASED TECHNOLOGIES', 0.007958704440572721], ['152118634 COMPUTER SECURITY', 0.007640946652085319], ['152117111 MOBİL PROGRAMLAMA', 0.005703042952004143], ['152118514 AĞ GÜVENLİĞİ', 0.00432088256740515], ['152118035 NETWORK APPLICATIONS UE', 0.0028758518471058334], ['152118513 SİSTEM PROGRAMLAMA', 0.002522091360846293], ['152117115 ADVANCED PROGRAMMING', 0.001396874500326747]]
2549129425: [['152117111 MOBİL PROGRAMLAMA', 0.005750728451515038], ['152118035 NETWORK APPLICATIONS UE', 0.0048090732670193126], ['152118514 AĞ GÜVENLİĞİ', 0.003772383142281266], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152118634 COMPUTER SECURITY', 0.0024136226536526357], ['152117115 ADVANCED PROGRAMMING', 0.000775341614721335], ['152118513 SİSTEM PROGRAMLAMA', 0.00039341634112640523]]
2864104566: [['152117111 MOBİL PROGRAMLAMA', 0.006537591632111263], ['152118035 NETWORK APPLICATIONS UE', 0.0052172581230796695], ['152118514 AĞ GÜVENLİĞİ', 0.004736702813403451], ['152118634 COMPUTER SECURITY', 0.003194721578818507], ['152118635 WEB BASED TECHNOLOGIES', 0.002448214913752209], ['152117115 ADVANCED PROGRAMMING', 0.0010717122172361543], ['152118513 SİSTEM PROGRAMLAMA', 0.0006932672589927193]]
1029674514: [['152118035 NETWORK APPLICATIONS UE', 0.0033953635760993], ['152118514 AĞ GÜVENLİĞİ', 0.002443196935060858], ['152117111 MOBİL PROGRAMLAMA', 0.002052640831437716], ['152118513 SİSTEM PROGRAMLAMA', 0.0007814781768639027], ['152117115 ADVANCED PROGRAMMING', 0.0], ['152118634 COMPUTER SECURITY', 0.0], ['152118635 WEB BASED TECHNOLOGIES', 0.0]]
2997066913: [['152118514 AĞ GÜVENLİĞİ', 0.003953750949020212], ['152118035 NETWORK APPLICATIONS UE', 0.0033437929792555234], ['152117111 MOBİL PROGRAMLAMA', 0.0022670451117243464], ['152118634 COMPUTER SECURITY', 0.0019278349260692933], ['152118635 WEB BASED TECHNOLOGIES', 0.0016462851432543502], ['152118513 SİSTEM PROGRAMLAMA', 0.0008440255981197933], ['152117115 ADVANCED PROGRAMMING', 0.0]]
